Name of the document,Institution,URL,Authors,Affiliates,Sector,Country,Date,Keywords,Exclusion criteria,Status,Label,MapAIE (ours),Jobin,Fjeld,Tidjon,Hagendorff,Floridi,Zeng (LAIP),Attard-Frost,EP,Algorithm watch,CE,Winfield,EthicalML GitHub,all sources,Checked by,,,
"Principles to Promote Fairness, Ethics, Accountability and Transparency (FEAT) in the Use of Artificial Intelligence and Data Analytics in Singapore’s Financial Sector",Monetary Authority of Singapore,https://www.mas.gov.sg/-/media/MAS/News-and-Publications/Monographs-and-Information-Papers/FEAT-Principles-Updated-7-Feb-19.pdf,.,.,national authority,Singapore,2018,,,included,SPI,1,,1,,,,,1,,1,1,,,4,Mel,,,
"The State of AI Ethics (Volume 5, July 2021)",Montreal AI Ethics Institute,https://montrealethics.ai/wp-content/uploads/2021/09/State-of-AI-Ethics-Report-Volume-5-July-2021.pdf,,,,Canada,,,,not included,meta-analysis,0,,,,,,,,,,1,,,1,Tiphaine,,,
"The State of AI Ethics (Volume 6, February 2022)",Montreal AI Ethics Institute,https://montrealethics.ai/wp-content/uploads/2022/01/State-of-AI-Ethics-Report-Volume-6-February-2022.pdf,,,,Canada,,,,not included,meta-analysis,0,,,,,,,,,,1,,,1,Tiphaine,,,
Effective Ad Archives,Mozilla Foundation,https://blog.mozilla.org/en/mozilla/facebook-and-google-this-is-what-an-effective-ad-archive-api-looks-like/,,,,USA,,,,Not included,not AI ethics,0,,,,,,,,,1,,,,1,Mel,,,
Data Science Oath,"National Academies of Science, Engineering & Medecine",https://nap.nationalacademies.org/read/24886/chapter/7#33,,,,USA,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Tiphaine,,,
A Proposal for Identifying and Managing Bias in Artificial Intelligence,National Institute of Standards and Technology (NIST) (US),https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1270-draft.pdf,,,,USA,,,,included,"SPI (study), issue-specific",1,,,,,,,,,,1,,,1,Tiphaine,,,
"Artificial Intelligence Risk Management
 Framework (AI RMF 1.0)",National Institute of Standards and Technology (NIST) (US),https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf,,,,USA,,,,included,SPI,1,,,,,,,,,,1,,,1,Mel,,,
"Four Principles of Explainable Artificial
 Intelligence",National Institute of Standards and Technology (NIST) (US),https://nvlpubs.nist.gov/nistpubs/ir/2021/NIST.IR.8312.pdf,,,,USA,,,,included,SPI issue-specific,1,,,,,,,,,,1,,,1,Mel,,,
"Towards a Standard for Identifying and Managing Bias in Artificial Intelligence
 Managing Bias in Artificial Intelligence",National Institute of Standards and Technology (NIST) (US),https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=934464,,,,USA,,,,included,"SPI, issue-specific",1,,,,,,,,,,1,,,1,Maria,,,
US LEADERSHIP IN AI: A Plan for Federal Engagement in Developing Technical Standards and Related Tools,National Institute of Standards and Technology (NIST) (US),https://www.nist.gov/system/files/documents/2019/08/10/ai_standards_fedengagement_plan_9aug2019.pdf,,,,USA,,,,Included,SPI,1,,,,,,,,,,1,,,1,Maria,,,
Discussion Paper: National Strategy for Artificial Intelligence,National Institution for Transforming India (Niti Aayog),https://indiaai.gov.in/documents/pdf/NationalStrategy-for-AI-Discussion-Paper.pdf,Anna Roy,.,national authority,India,2018-06,,,included,SPI,1,1,1,,,,,1,,1,1,,,5,Mel,,,
New Generation AI Governance Principles – Developing Responsible AI,National New Generation AI Promotion Office / National New Generation Artificial Intelligence Governance Committee,http://chinainnovationfunding.eu/dt_testimonials/publication-of-the-new-generation-ai-governance-principles-developing-responsible-ai/ new url https://www.chinadaily.com.cn/a/201906/17/WS5d07486ba3103dbf14328ab7.html,,,,China,,,,Included,press,1,,,,,,,,,,1,,,1,Maria,J'ai l'impression qu'on l'a déjà inclu !,,
Governance Principles for a New Generation of Artificial Intelligence: Develop Responsible Artificial Intelligence,National New Generation Artificial Intelligence Governance Expert Committee,"https://www.newamerica.org/cybersecurity-initiative/digichina/blog/translation-chinese-expert-group-offers-governance-principles-responsible-ai/, https://www.chinadaily.com.cn/a/201906/17/WS5d07486ba3103dbf14328ab7.html?from=singlemessage&isappinstalled=0",,,,China,,,,Included,press,1,,1,,,,1,,,1,1,,,4,Maria,,,
Advisory Statement on Human Ethics in Artificial Intelligence and Big Data Research,National Research Council Canada,https://nrc.canada.ca/en/corporate/values-ethics/research-involving-human-participants/advisory-statement-human-ethics-artificial-intelligence-big-data-research-2017,,,,Canada,,,,Included,SPI,1,,,,,,,,,1,0,,,1,Maria,,,
AI Singapore,National Research Foundation (Singapore),https://www.aisingapore.org/,,,,Singapore,,,,Not included,tool,0,,,,,,,,,,1,,,1,Maria,,,
Preparing the future of AI,National Science and Technology Council (US),https://obamawhitehouse.archives.gov/sites/default/files/whitehouse_files/microsites/ostp/NSTC/preparing_for_the_future_of_ai.pdf,,,,USA,,,,Included,SPI,1,,,,,,,,,,1,,,1,Maria,,,
The National Artificial Intelligence Research and Development Strategic Plan,"National Science and Technology Council, Networking and Information Technology Research and Development Subcommittee (US)",https://www.nitrd.gov/pubs/national_ai_rd_strategic_plan.pdf,,,,USA,,,,included,SPI (strategy),1,1,,,,,,,,1,1,,,3,Tiphaine,,,
Ensuring American Leadership in Automated Vehicle Technologies - Automated Vehicles 4.0,"National Science and Technology Council, United States Department of Transportation (US)",https://www.transportation.gov/sites/dot.gov/files/docs/policy-initiatives/automated-vehicles/360956/ensuringamericanleadershipav4.pdf,,,,USA,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Tiphaine,,,
Summary of the NATO Artificial Intelligence Strategy,NATO,https://www.nato.int/cps/en/natohq/official_texts_187617.htm,,,,international,,,,Included,,1,,,,,,1,,,,,,,1,Maria,,,
Algorithm Charter for Aotearoa New Zealand,New Zealand Government; Stats NZ,https://data.govt.nz/assets/data-ethics/algorithm/Algorithm-Charter-2020_Final-English-1.pdf,,,,New Zealand,,,,Included,,1,,,,,,,,,,,,1,1,Maria,,,
"Privacy, Data and Technology: Human Rights Challenges in the Digital Age",New Zealand Human Rights Commission,https://www.hrc.co.nz/files/5715/2575/3415/Privacy_Data_Technology_-_Human_Rights_Challenges_in_the_Digital_Age_FINAL.pdf,,,,New Zealand,,,,included,SPI(strategy),1,,,,,,,,,,1,,,1,Tiphaine,,,
Declaration on AI in the Nordic-Baltic Region,Nordic Council of Ministers for Digitalisation 2017-2020 (MR-DIGITAL),https://www.norden.org/en/declaration/ai-nordic-baltic-region,,,,international,,,,included,SPI (strategy),1,,,,,,,,,,1,,,1,Tiphaine,,,
The Manifesto for Ethical AI,Numeum,https://ai-ethical.com/en/manifesto/,"Renaud Vedel, Katya Lainé","Numeum, 3iA Côte d'Azur, Telecom Valley, Impact AI, Hub France IA, Grand Est, Grand ENOV+, Institut DataIA, ANITI, aivancity, 42, Services du Premier Ministre",national authority,France,2021,,,Not included,Not cited,0,,,,,,,,,,,,,0,Maria,,,
The Practical Guide to Ethical AI,Numeum,https://ai-ethical.com/wp-content/uploads/2022/12/2022-SN-Guide-Methodo-IA-Ethiques-web-version.pdf,,,,,,,,Not included,Not cited,0,,,,,,,,,,,,,0,Maria,,,
Data Ethics Checklist,O'Reilly,https://www.oreilly.com/ideas/of-oaths-and-checklists,,,,USA,,,,not included,not ai ethics,0,,,,,,,,,,1,,,1,Tiphaine,,,
Les mesures publiques dans les stratégies gouvernementales en matière d'intelligence artifcielle : une perspective internationale,OBVIA,https://www.docdroid.com/kI3bJmo/mesures-publiques-dans-strategies-gouvernementales-ia-obiva-202202-pdf,,,,Canada,,,,Not included,not in English,0,,,,,,,,,,1,,,1,Maria,,,
Principle of Artificial Intelligence Ethics for the intelligence community,Office of the Director of National Intelligence,https://www.intelligence.gov/principles-of-artificial-intelligence-ethics-for-the-intelligence-community,,,,USA,,,,included,,1,,,,,,1,,,,,,,1,Tiphaine,,,
Strategic Priority the Data Management,Office of the Vice-President of the Government for Investment and Informatisation,http://www.informatizacia.sk/ext_dok-uppvii_sp_manazment_udajov_vfinal/24196c,,,,Slovakia,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Tiphaine,,,
"For a mastered, useful and demystified artificial intelligence - Pour une intelligence artificielle maîtrisée, utile et démystifiée",Office parlementaire d’évaluation des choix scientifiques et technologiques (France),http://www.senat.fr/rap/r16-464-1/r16-464-11.pdf,,,,France,,,,not included,not in english,0,,,,,,,,,,1,,,1,Mel,,,
OP Financial Group’s ethical guidelines for artificial intelligence,OP Group,https://www.op.fi/documents/20556/63695/Teko%C3%A4lyn+eettiset+periaatteet+EN/870b1f83-37bb-6013-f2b5-976d6d49aa85,,,industry,Finland,2019,,,included,,1,1,,,,,1,,,1,1,,,4,Mel,,,
Open Ethics Manifesto,Open Ethics Initiative,https://openethics.ai/manifesto/,.,.,civil society,EU,2018,"stakeholders, industry, OpenAI, collective",,not included,not AI ethics,0,,,,,,,,,,,,,0,Mel,,,
AI Impact assessment,Open Loop,https://d32j3j47emgb6f.cloudfront.net/wp-content/uploads/2021/01/AI_Impact_Assessment_A_Policy_Prototyping_Experiment.pdf,,,,international,,,,not included,tool,0,,,,,,,,,,1,,,1,Tiphaine,,,
OpenAI Charter,OpenAI,https://openai.com/charter/,.,.,industry,USA,2018-04-09,,,included,,1,1,,,1,,1,1,,1,1,,,6,Mel,,,
Ethics: a vital part of responsible AI deployment,Orange,https://www.orange-business.com/en/blogs/ethics-vital-part-responsible-ai-deployment,,,,France,,,,included,,1,,,,,,,,,,,,,0,Mel,,,
Human Inside,Orange,https://www.orange.com/en/Human-Inside/Mag/Hello-I-am-AI.,,,,France,,,,not included,not ai,0,,,,,,,,,,1,,,1,Tiphaine,,,
International Charter for Inclusive AI,Orange; Arborus,https://charteia.arborus.org/en/,,,,France,,,,included,,1,,,,,,,,,,1,,,1,Mel,,,
A blueprint for building national compute capacity for artificial intelligence,Organisation for Economic Co-operation and Development (OECD),https://www.oecd-ilibrary.org/deliver/876367e3-en.pdf?itemId=%2Fcontent%2Fpaper%2F876367e3-en&mimeType=pdf,,,,international ,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Simon,,,
Advancing accountability in AI - Governing and managing risks throughout the lifecycle for trustworthy AI,Organisation for Economic Co-operation and Development (OECD),https://www.oecd-ilibrary.org/deliver/2448f04b-en.pdf?itemId=%2Fcontent%2Fpaper%2F2448f04b-en&mimeType=pdf,,,,international,,,,included,SPI,1,,,,,,,,,,1,,,1,Simon,,,
"AI: Intelligent machines, smart policies (Conference Summary)",Organisation for Economic Co-operation and Development (OECD),https://www.sipotra.it/wp-content/uploads/2018/09/AI-INTELLIGENT-MACHINES-SMART-POLICIES.pdf,,,,international,,,,included,SPI,1,,,,,,,,,,1,,,1,Simon,,,
Artificial intelligence and employment,Organisation for Economic Co-operation and Development (OECD),https://www.oecd-ilibrary.org/deliver/c2c1d276-en.pdf?itemId=%2Fcontent%2Fpaper%2Fc2c1d276-en&mimeType=pdf,,,,international,,,,included,SPI issue-specific,1,,,,,,,,,,1,,,1,Simon,,,
Artificial Intelligence in Society,Organisation for Economic Co-operation and Development (OECD),https://www.oecd-ilibrary.org/sites/eedfee77-en/index.html?itemId=/content/publication/eedfee77-en,,,,international,,,,included,,1,,,,,,,,,,1,,,1,Simon,,,
Harnessing the power of AI and emerging technologies - Background paper for the CDEP Ministerial meeting,Organisation for Economic Co-operation and Development (OECD),https://www.oecd-ilibrary.org/deliver/f94df8ec-en.pdf?itemId=%2Fcontent%2Fpaper%2Ff94df8ec-en&mimeType=pdf,,,,international,,,,Not included,not AI ethics,0,,,,,,,,,,1,,,1,Maria,,,
Identifying and characterising AI adopters - A novel approach based on big data,Organisation for Economic Co-operation and Development (OECD),https://www.oecd-ilibrary.org/deliver/154981d7-en.pdf?itemId=%2Fcontent%2Fpaper%2F154981d7-en&mimeType=pdf,,,,international,,,,Not included,not AI ethics,0,,,,,,,,,,1,,,1,Maria,,,
Identifying artificial intelligence actors using online data,Organisation for Economic Co-operation and Development (OECD),https://www.oecd-ilibrary.org/deliver/1f5307e7-en.pdf?itemId=%2Fcontent%2Fpaper%2F1f5307e7-en&mimeType=pdf,,,,international,,,,Not included,not AI ethics,0,,,,,,,,,,1,,,1,Maria,,,
Labour-saving technologies and employment levels - Are robots really making workers redundant?,Organisation for Economic Co-operation and Development (OECD),https://www.oecd-ilibrary.org/deliver/9ce86ca5-en.pdf?itemId=%2Fcontent%2Fpaper%2F9ce86ca5-en&mimeType=pdf,,,,international,,,,Not included,not AI ethics,0,,,,,,,,,,1,,,1,Maria,,,
OECD AI Policy Observatory,Organisation for Economic Co-operation and Development (OECD),https://oecd.ai,,,,international,,,,not included,not a charter,0,,,,,,,,,,1,,,1,Tiphaine,,,
OECD Framework for the classification of AI Systems,Organisation for Economic Co-operation and Development (OECD),https://www.oecd-ilibrary.org/docserver/cb6d9eca-en.pdf?expires=1704208445&id=id&accname=guest&checksum=D4906A98889E61868DDDE97B27971025,,,,international,,,,not included,not prescriptive,0,,,,,,,,,,1,,,1,Tiphaine,,,
OECD Principles on AI,Organisation for Economic Co-operation and Development (OECD),https://www.oecd.org/going-digital/ai/principles/,,,,international,,,,not included,hard to crawl,0,,,,,,,,,,1,,,1,Tiphaine,,,
Opportunities and drawbacks of using artificial intelligence for training,Organisation for Economic Co-operation and Development (OECD),https://www.oecd-ilibrary.org/deliver/22729bd6-en.pdf?itemId=%2Fcontent%2Fpaper%2F22729bd6-en&mimeType=pdf,,,,international,,,,Included,"SPI, digital, field-specific",1,,,,,,,,,,1,,,1,Maria,,,
Recommendation of the Council on Artificial Intelligence,Organisation for Economic Co-operation and Development (OECD),https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449,.,.,international organisation,international,2019-05-22,,,included,,1,,1,,1,,1,1,,1,1,,,6,Mel,,,
State of implementation of the OECD AI Principles,Organisation for Economic Co-operation and Development (OECD),https://www.oecd-ilibrary.org/docserver/1cd40c44-en.pdf?expires=1700910832&id=id&accname=guest&checksum=63EB730E37CC61174E065E5F4502C1EF,,,,international,,,,included,SPI,1,,,,,,,,,,1,,,1,Simon,,,
State of the art in the use of emerging technologies in the public sector,Organisation for Economic Co-operation and Development (OECD),https://www.oecd-ilibrary.org/docserver/932780bc-en.pdf?expires=1700910796&id=id&accname=guest&checksum=689A1C4A9057EEAE212A832629A5FA2A,,,,international,,,,included,SPI field-specific,1,,,,,,,,,,1,,,1,Simon,,,
"The supply, demand and characteristics of the AI workforce across OECD countries",Organisation for Economic Co-operation and Development (OECD),https://www.oecd-ilibrary.org/deliver/bb17314a-en.pdf?itemId=%2Fcontent%2Fpaper%2Fbb17314a-en&mimeType=pdf,,,,international,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Simon,,,
Tools and Ethics for Applied Behavioural Insights: The BASIC Toolkit,Organisation for Economic Co-operation and Development (OECD),https://www.oecd.org/gov/regulatory-policy/BASIC-Toolkit-web.pdf,,,,international,,,,not included,not AI ethics,0,,,1,,,,,,,,,,1,Simon,,,
"Trustworthy AI in education: promises and challenges. Background paper for the G20 AI Dialogue, Digital Economy Task Force",Organisation for Economic Co-operation and Development (OECD),https://web-archive.oecd.org/2020-07-23/559610-trustworthy-artificial-intelligence-in-education.pdf,,,,international,,,,included,SPI field-specific,1,,,,,,,,,,1,,,1,Simon,,,
"Trustworthy AI in health. Background paper for the G20 AI Dialogue, Digital Economy Task Force",Organisation for Economic Co-operation and Development (OECD),https://www.oecd.org/health/trustworthy-artificial-intelligence-in-health.pdf,,,,international,,,,included,SPI field-specific,1,,,,,,,,,,1,,,1,Simon,,,
Using artificial intelligence in the workplace: What are the main ethical risks?,Organisation for Economic Co-operation and Development (OECD),https://www.oecd-ilibrary.org/docserver/840a2d9f-en.pdf?expires=1700910639&id=id&accname=guest&checksum=B51C7549ABDB00F26FD7F4D8546E78D4,,,,international,,,,included,SPI field-specific,1,,,,,,,,,,1,,,1,Simon,,,
Using artificial intelligence to help combat COVID-19,Organisation for Economic Co-operation and Development (OECD),https://read.oecd-ilibrary.org/view/?ref=130_130771-3jtyra9uoh&title=Using-artificial-intelligence-to-help-combat-COVID-19,,,,international,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Simon,,,
Measuring the environmental impacts of artificial intelligence compute and applications - The AI Footprint,"Organisation for Economic Co-operation and Development (OECD), GPAI",https://www.oecd-ilibrary.org/docserver/7babf571-en.pdf?expires=1700910550&id=id&accname=guest&checksum=A3116351E36F167E26FDAA8262575B12,,,,international,,,,included,SPI field-specific,1,,,,,,,,,,1,,,1,Simon,,,
Non-paper on the impact of artificial intelligence and freedom of expression,Organization for Security and Co-operation in Europe (OSCE),https://www.osce.org/files/f/documents/b/a/447829.pdf,,,,international,,,,included,SPI issue-specific,1,,,,,,,,,,1,,,1,Simon,,,
"From What to How: An Initial Review of Publicly Available AI Ethics Tools, Methods and Research to Translate Principles into Practices",Oxford Internet Institute,https://arxiv.org/abs/1905.06876,,,,UK,,academic,,not included,meta-analysis,0,,,1,,,,,,,,,1,2,Simon,,,
Prolegomena to a White Paper on an Ethical Framework for a Good AI Society,Oxford Internet Institute,https://deliverypdf.ssrn.com/delivery.php?ID=558024120114001070094066014064120028033081036015093092028098107121122030094122018006001026024056060127015099113127073085077091049035005060074064071004076073079110098003017087075080096008088112016092107117101085082102000026098005070073124116091106072073&EXT=pdf&INDEX=TRUE,,,,UK,,,,included,,1,,,,,,,,,,1,,,1,Simon,,,
